	Gene ID	Uniq_Name	KH2013	KYname	KHname	Description	name	ENSMUSG	ENSMUST	annotation_1	annotation_2	loc	SNR	variance	denoised_SNR	denoised_variance	gene_network_leiden	gene_network_n	leiden	gene_clusters_leiden
Mkln1-KY.Chr1.44	KY2019:KY.Chr1.44	Mkln1-KY.Chr1.44	KH.C1.130	MKLN1	MKLN1	6:31398735:31516811:1 ENSMUSG00000025609.15 ENSMUST00000026699.14 protein_coding protein_coding Mkln1 muskelin 1, intracellular mediator containing kelch motifs [Source:MGI Symbol;Acc:MGI:1351638]	Mkln1	ENSMUSG00000025609.15	ENSMUST00000026699.14	protein_coding	protein_coding	6:31398735:31516811:1	0.38954948928029864	0.58827275	0.30420103630683554	0.70974123	3	36	3	3
Lrig3-KY.Chr1.45	KY2019:KY.Chr1.45	Lrig3-KY.Chr1.45	KH.C1.631	LRIG3	LRIG1/2/3	10:125966253:126015359:1 ENSMUSG00000020105.9 ENSMUST00000074807.7 protein_coding protein_coding Lrig3 leucine-rich repeats and immunoglobulin-like domains 3 [Source:MGI Symbol;Acc:MGI:2443955]	Lrig3	ENSMUSG00000020105.9	ENSMUST00000074807.7	protein_coding	protein_coding	10:125966253:126015359:1	0.3852450268227049	0.7338646	0.2395627539689991	0.5943631	6	11	7	8
Tstd1-KY.Chr1.47	KY2019:KY.Chr1.47	Tstd1-KY.Chr1.47	KH.C1.139	TSTD1	TSTD1	1:171419033:171420352:1 ENSMUSG00000103711.1 ENSMUST00000171362.1 protein_coding protein_coding Tstd1 thiosulfate sulfurtransferase (rhodanese)-like domain containing 1 [Source:MGI Symbol;Acc:MGI:3648482]	Tstd1	ENSMUSG00000103711.1	ENSMUST00000171362.1	protein_coding	protein_coding	1:171419033:171420352:1	0.5312799518620375	1.1756184	0.3370255677530294	0.96140206	4	24	1	5
Imp4-KY.Chr1.61	KY2019:KY.Chr1.61	Imp4-KY.Chr1.61	KH.C1.1216	IMP4	IMP4	1:34439851:34449356:1 ENSMUSG00000026127.13 ENSMUST00000027303.13 protein_coding protein_coding Imp4 IMP4, U3 small nucleolar ribonucleoprotein [Source:MGI Symbol;Acc:MGI:106572]	Imp4	ENSMUSG00000026127.13	ENSMUST00000027303.13	protein_coding	protein_coding	1:34439851:34449356:1	0.7268526560421495	1.0314566	0.5674854067286775	1.4197669	4	27	1	5
Eif4a2-KY.Chr1.63	KY2019:KY.Chr1.63	Eif4a2-KY.Chr1.63	KH.C1.287	EIF4A2	EIF4A1/2	16:23107758:23113184:1 ENSMUSG00000022884.16 ENSMUST00000187168.6 protein_coding protein_coding Eif4a2 eukaryotic translation initiation factor 4A2 [Source:MGI Symbol;Acc:MGI:106906]	Eif4a2	ENSMUSG00000022884.16	ENSMUST00000187168.6	protein_coding	protein_coding	16:23107758:23113184:1	1.7395698415599026	1.9194367	1.7384950200337816	1.4197149	4	7	1	10
Cilk1-KY.Chr1.69	KY2019:KY.Chr1.69	Cilk1-KY.Chr1.69	KH.C1.1300	MAK	MAK	9:78113300:78165413:1 ENSMUSG00000009828.15 ENSMUST00000117330.7 protein_coding protein_coding Cilk1 ciliogenesis associated kinase 1 [Source:MGI Symbol;Acc:MGI:1934157]	Cilk1	ENSMUSG00000009828.15	ENSMUST00000117330.7	protein_coding	protein_coding	9:78113300:78165413:1	0.29296777594078693	0.473791	0.16194195329577787	0.49382982	1	13	5	6
Pgs1-KY.Chr1.71	KY2019:KY.Chr1.71	Pgs1-KY.Chr1.71	KH.C1.1197	PGS1	PGS1	11:117986292:118024011:1 ENSMUSG00000017715.11 ENSMUST00000132676.7 protein_coding protein_coding Pgs1 phosphatidylglycerophosphate synthase 1 [Source:MGI Symbol;Acc:MGI:1921701]	Pgs1	ENSMUSG00000017715.11	ENSMUST00000132676.7	protein_coding	protein_coding	11:117986292:118024011:1	0.430955526937128	0.6923012	0.30697888000266593	0.8963199	1	18	6	4
Homer2-KY.Chr1.72	KY2019:KY.Chr1.72	Homer2-KY.Chr1.72	KH.C1.301	HOMER2	HOMER/1/2/3	7:81609730:81706809:-1 ENSMUSG00000025813.14 ENSMUST00000207983.1 protein_coding protein_coding Homer2 homer scaffolding protein 2 [Source:MGI Symbol;Acc:MGI:1347354]	Homer2	ENSMUSG00000025813.14	ENSMUST00000207983.1	protein_coding	protein_coding	7:81609730:81706809:-1	0.24004489890490197	0.23548836	0.15845931336244393	0.2887419	5	21	1	9
Ran-KY.Chr1.75	KY2019:KY.Chr1.75	Ran-KY.Chr1.75	KH.C1.821	ORF:[1..15/16]	MIS-12	5:129020272:129024323:1 ENSMUSG00000029430.13 ENSMUST00000111343.1 protein_coding protein_coding Ran RAN, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1333112]	Ran	ENSMUSG00000029430.13	ENSMUST00000111343.1	protein_coding	protein_coding	5:129020272:129024323:1	1.3127778849819745	1.8468882	1.2990651550152994	1.3336662	4	12	3	7
Slc25a26-KY.Chr1.127	KY2019:KY.Chr1.127	Slc25a26-KY.Chr1.127	KH.C1.230	SLC25A26	SLC25A26	6:94500331:94604672:1 ENSMUSG00000045100.11 ENSMUST00000061118.10 protein_coding protein_coding Slc25a26 solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 26 [Source:MGI Symbol;Acc:MGI:1914832]	Slc25a26	ENSMUSG00000045100.11	ENSMUST00000061118.10	protein_coding	protein_coding	6:94500331:94604672:1	0.3851854624579022	0.56466866	0.2751200500278228	0.7420364	3	17	2	0
Rab35-KY.Chr1.128	KY2019:KY.Chr1.128	Rab35-KY.Chr1.128	KH.C1.1011	RAB35	RAB35	5:115631908:115647736:1 ENSMUSG00000029518.15 ENSMUST00000031492.14 protein_coding protein_coding Rab35 RAB35, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1924657]	Rab35	ENSMUSG00000029518.15	ENSMUST00000031492.14	protein_coding	protein_coding	5:115631908:115647736:1	0.38685826017055214	0.6289147	0.25852752876152996	0.56973743	0	14	0	1
Dnajc3-KY.Chr1.132	KY2019:KY.Chr1.132	Dnajc3-KY.Chr1.132	KH.C1.269	DNAJC3	DNAJC3	14:118937976:118981697:1 ENSMUSG00000022136.8 ENSMUST00000022734.8 protein_coding protein_coding Dnajc3 DnaJ heat shock protein family (Hsp40) member C3 [Source:MGI Symbol;Acc:MGI:107373]	Dnajc3	ENSMUSG00000022136.8	ENSMUST00000022734.8	protein_coding	protein_coding	14:118937976:118981697:1	0.48656996690271076	0.97349864	0.25465405176505673	0.6248859	1	38	2	6
Atad2b-KY.Chr1.137	KY2019:KY.Chr1.137	Atad2b-KY.Chr1.137	KH.C1.997	ATAD2B	ATAD2	12:4917404:5047394:1 ENSMUSG00000052812.5 ENSMUST00000045664.6 protein_coding protein_coding Atad2b ATPase family, AAA domain containing 2B [Source:MGI Symbol;Acc:MGI:2444798]	Atad2b	ENSMUSG00000052812.5	ENSMUST00000045664.6	protein_coding	protein_coding	12:4917404:5047394:1	0.23877214949585898	0.38556784	0.18359323485873955	0.4602704	4	15	3	5
Eloc-KY.Chr1.138	KY2019:KY.Chr1.138	Eloc-KY.Chr1.138	KH.C1.831	ELOC	TCEB1	1:16643191:16656914:-1 ENSMUSG00000079658.9 ENSMUST00000185771.6 protein_coding protein_coding Eloc elongin C [Source:MGI Symbol;Acc:MGI:1915173]	Eloc	ENSMUSG00000079658.9	ENSMUST00000185771.6	protein_coding	protein_coding	1:16643191:16656914:-1	0.5344734634787945	1.0454504	0.3724458095241225	1.0129716	4	13	3	3
Kazn-KY.Chr1.143	KY2019:KY.Chr1.143	Kazn-KY.Chr1.143	KH.L140.2	KAZN	KAZN	CHR_MG51_PATCH:142102390:142210206:-1 ENSMUSG00000115905.1 ENSMUST00000229701.1 protein_coding protein_coding Kazn kazrin, periplakin interacting protein [Source:MGI Symbol;Acc:MGI:1918779]	Kazn	ENSMUSG00000115905.1	ENSMUST00000229701.1	protein_coding	protein_coding	CHR_MG51_PATCH:142102390:142210206:-1	0.5300204791367473	0.9294591	0.3595093803370655	0.7323762	0	13	0	1
Cfap206-KY.Chr1.144	KY2019:KY.Chr1.144	Cfap206-KY.Chr1.144	KH.L140.7	CFAP206	C6ORF165	4:34711332:34730178:-1 ENSMUSG00000028294.15 ENSMUST00000108136.7 protein_coding protein_coding Cfap206 cilia and flagella associated protein 206 [Source:MGI Symbol;Acc:MGI:1916579]	Cfap206	ENSMUSG00000028294.15	ENSMUST00000108136.7	protein_coding	protein_coding	4:34711332:34730178:-1	0.18368623531326078	0.25649297	0.10279969806468837	0.31811476	7	8	2	16
Flvcr2-KY.Chr1.145	KY2019:KY.Chr1.145	Flvcr2-KY.Chr1.145	KH.L140.6	FLVCR2	KH2013:KH.L140.6_FLVCR1/2	12:85746539:85813585:1 ENSMUSG00000034258.4 ENSMUST00000040461.3 protein_coding protein_coding Flvcr2 feline leukemia virus subgroup C cellular receptor 2 [Source:MGI Symbol;Acc:MGI:2384974]	Flvcr2	ENSMUSG00000034258.4	ENSMUST00000040461.3	protein_coding	protein_coding	12:85746539:85813585:1	0.35534051977596376	0.28395212	0.08957683066196172	0.45592713	7	3	2	16
Cmtm4-KY.Chr1.147	KY2019:KY.Chr1.147	Cmtm4-KY.Chr1.147	KH.L140.5	CMTM7	CMTM4/7	8:104348191:104395807:-1 ENSMUSG00000096188.1 ENSMUST00000179802.1 protein_coding protein_coding Cmtm4 CKLF-like MARVEL transmembrane domain containing 4 [Source:MGI Symbol;Acc:MGI:2142888]	Cmtm4	ENSMUSG00000096188.1	ENSMUST00000179802.1	protein_coding	protein_coding	8:104348191:104395807:-1	0.9455870757273749	1.3350835	0.20408122881180463	0.4680028	6	9	7	8
Naa10-KY.Chr1.151	KY2019:KY.Chr1.151	Naa10-KY.Chr1.151	KH.C1.150	NAA10	NAA10/11	X:73916873:73921944:-1 ENSMUSG00000031388.14 ENSMUST00000033763.14 protein_coding protein_coding Naa10 N(alpha)-acetyltransferase 10, NatA catalytic subunit [Source:MGI Symbol;Acc:MGI:1915255]	Naa10	ENSMUSG00000031388.14	ENSMUST00000033763.14	protein_coding	protein_coding	X:73916873:73921944:-1	0.5438193287058055	0.86409163	0.4112607282292813	0.94366467	0	29	2	0
Dnajb9-KY.Chr1.152	KY2019:KY.Chr1.152	Dnajb9-KY.Chr1.152	KH.C1.914	DNAJB9	DNAJB9	12:44205559:44210326:-1 ENSMUSG00000014905.4 ENSMUST00000015049.4 protein_coding protein_coding Dnajb9 DnaJ heat shock protein family (Hsp40) member B9 [Source:MGI Symbol;Acc:MGI:1351618]	Dnajb9	ENSMUSG00000014905.4	ENSMUST00000015049.4	protein_coding	protein_coding	12:44205559:44210326:-1	0.6498389389598941	1.1146944	0.45453397876778945	1.0966761	2	17	4	2
Wdr33-KY.Chr1.159	KY2019:KY.Chr1.159	Wdr33-KY.Chr1.159	KH.C1.1238	WDR33	WDR33	18:31804098:31907397:1 ENSMUSG00000024400.16 ENSMUST00000025264.7 protein_coding protein_coding Wdr33 WD repeat domain 33 [Source:MGI Symbol;Acc:MGI:1921570]	Wdr33	ENSMUSG00000024400.16	ENSMUST00000025264.7	protein_coding	protein_coding	18:31804098:31907397:1	0.3906176990178947	0.72964275	0.2753534379969129	0.78777933	3	10	2	0
Cyb5d1-KY.Chr1.160	KY2019:KY.Chr1.160	Cyb5d1-KY.Chr1.160	KH.C1.841	CYB5D1	CYB5D1	11:69393612:69395333:-1 ENSMUSG00000044795.12 ENSMUST00000051620.4 protein_coding protein_coding Cyb5d1 cytochrome b5 domain containing 1 [Source:MGI Symbol;Acc:MGI:2685586]	Cyb5d1	ENSMUSG00000044795.12	ENSMUST00000051620.4	protein_coding	protein_coding	11:69393612:69395333:-1	0.262461847870005	0.25313896	0.14933657599381592	0.25005117	0	42	2	16
Vamp2-KY.Chr1.162	KY2019:KY.Chr1.162	Vamp2-KY.Chr1.162	KH.C1.165	VAMP2	VAMP1/2/3	11:69088490:69092384:1 ENSMUSG00000020894.16 ENSMUST00000021273.12 protein_coding protein_coding Vamp2 vesicle-associated membrane protein 2 [Source:MGI Symbol;Acc:MGI:1313277]	Vamp2	ENSMUSG00000020894.16	ENSMUST00000021273.12	protein_coding	protein_coding	11:69088490:69092384:1	0.639490153613005	1.1221712	0.24043186457446847	0.7035587	6	39	7	8
Ptpmt1-KY.Chr1.164	KY2019:KY.Chr1.164	Ptpmt1-KY.Chr1.164	KH.C1.881	GRIA2	PTPMT1	CHR_MG191_PATCH:90911188:90917987:-1 ENSMUSG00000110860.2 ENSMUST00000229376.1 protein_coding protein_coding Ptpmt1 protein tyrosine phosphatase, mitochondrial 1 [Source:NCBI gene;Acc:66461]	Ptpmt1	ENSMUSG00000110860.2	ENSMUST00000229376.1	protein_coding	protein_coding	CHR_MG191_PATCH:90911188:90917987:-1	0.4132757124428806	0.5625169	0.31165822432562795	0.73207676	5	26	4	10
Rab23-KY.Chr1.167	KY2019:KY.Chr1.167	Rab23-KY.Chr1.167	KH.S406.20	RAB23	KH2013:KH.S406.20	1:33720407:33742561:1 ENSMUSG00000004768.14 ENSMUST00000115174.3 protein_coding protein_coding Rab23 RAB23, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:99833]	Rab23	ENSMUSG00000004768.14	ENSMUST00000115174.3	protein_coding	protein_coding	1:33720407:33742561:1	0.4975517982092694	0.93206686	0.2921539963123546	0.8289148	1	27	5	6
Bard1-KY.Chr1.168	KY2019:KY.Chr1.168	Bard1-KY.Chr1.168	KH.C1.655	BARD1	BARD1	1:71027498:71103146:-1 ENSMUSG00000026196.7 ENSMUST00000027393.7 protein_coding protein_coding Bard1 BRCA1 associated RING domain 1 [Source:MGI Symbol;Acc:MGI:1328361]	Bard1	ENSMUSG00000026196.7	ENSMUST00000027393.7	protein_coding	protein_coding	1:71027498:71103146:-1	0.33489626759043717	0.50502324	0.23376642070911222	0.6063013	1	35	8	6
Mphosph10-KY.Chr1.176	KY2019:KY.Chr1.176	Mphosph10-KY.Chr1.176	KH.C1.172	MPHOSPH10	MPHOSPH10	7:64376527:64392268:-1 ENSMUSG00000030521.11 ENSMUST00000032735.7 protein_coding protein_coding Mphosph10 M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein) [Source:MGI Symbol;Acc:MGI:1915223]	Mphosph10	ENSMUSG00000030521.11	ENSMUST00000032735.7	protein_coding	protein_coding	7:64376527:64392268:-1	0.5485338379444271	0.7250586	0.42274361825904355	1.0375997	4	18	3	3
Arfgef1-KY.Chr1.182	KY2019:KY.Chr1.182	Arfgef1-KY.Chr1.182	KH.C1.1180	ARFGEF2	ARFGEF1/2	1:10173075:10232670:-1 ENSMUSG00000067851.11 ENSMUST00000131556.1 protein_coding protein_coding Arfgef1 ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]	Arfgef1	ENSMUSG00000067851.11	ENSMUST00000131556.1	protein_coding	protein_coding	1:10173075:10232670:-1	0.4712659521482323	1.0249403	0.31243197356860425	0.84998304	1	29	6	0
Slc10a1-KY.Chr1.184	KY2019:KY.Chr1.184	Slc10a1-KY.Chr1.184	KH.C1.907	SLC10A1	KH2013:KH.C1.907_CG9903	12:80953185:80968079:-1 ENSMUSG00000021135.8 ENSMUST00000095572.4 protein_coding protein_coding Slc10a1 solute carrier family 10 (sodium/bile acid cotransporter family), member 1 [Source:MGI Symbol;Acc:MGI:97379]	Slc10a1	ENSMUSG00000021135.8	ENSMUST00000095572.4	protein_coding	protein_coding	12:80953185:80968079:-1	0.30271307060280056	0.36375806	0.2076724819647079	0.3835513	1	13	5	12
Pdzd8-KY.Chr1.193	KY2019:KY.Chr1.193	Pdzd8-KY.Chr1.193	KH.L144.7	PDZD8	PDZD8	19:59297178:59345780:-1 ENSMUSG00000074746.3 ENSMUST00000099274.3 protein_coding protein_coding Pdzd8 PDZ domain containing 8 [Source:MGI Symbol;Acc:MGI:2677270]	Pdzd8	ENSMUSG00000074746.3	ENSMUST00000099274.3	protein_coding	protein_coding	19:59297178:59345780:-1	0.25830528757741483	0.32806727	0.18585058487750802	0.40853876	1	9	5	11
Nup50-KY.Chr1.194	KY2019:KY.Chr1.194	Nup50-KY.Chr1.194	KH.L144.6	NUP50	NUP50	15:84923449:84940007:1 ENSMUSG00000016619.10 ENSMUST00000230411.1 protein_coding protein_coding Nup50 nucleoporin 50 [Source:MGI Symbol;Acc:MGI:1351502]	Nup50	ENSMUSG00000016619.10	ENSMUST00000230411.1	protein_coding	protein_coding	15:84923449:84940007:1	0.3189631959474418	0.37875563	0.236909323962625	0.5374364	1	13	5	6
Phf21a-KY.Chr1.195	KY2019:KY.Chr1.195	Phf21a-KY.Chr1.195	KH.L144.2	USP6NL	PHF21B	2:92221562:92364666:1 ENSMUSG00000058318.15 ENSMUST00000090586.11 protein_coding protein_coding Phf21a PHD finger protein 21A [Source:MGI Symbol;Acc:MGI:2384756]	Phf21a	ENSMUSG00000058318.15	ENSMUST00000090586.11	protein_coding	protein_coding	2:92221562:92364666:1	0.9311965348907741	1.3010076	0.7332947247888607	1.6678818	0	8	0	12
Duox2-KY.Chr1.200	KY2019:KY.Chr1.200	Duox2-KY.Chr1.200	KH.L144.14	DUOX1	KH2013:KH.L144.14_SCOSPONDIN	2:122279247:122298165:-1 ENSMUSG00000068452.8 ENSMUST00000053734.5 protein_coding protein_coding Duox2 dual oxidase 2 [Source:MGI Symbol;Acc:MGI:3036280]	Duox2	ENSMUSG00000068452.8	ENSMUST00000053734.5	protein_coding	protein_coding	2:122279247:122298165:-1	0.34586512649539786	0.6195283	0.14503574595687457	0.2432321	0	19	0	1
Bloc1s1-KY.Chr1.202	KY2019:KY.Chr1.202	Bloc1s1-KY.Chr1.202	KH.L144.16	BLOC1S1	BLOC1S1	10:128919914:128923524:-1 ENSMUSG00000090247.7 ENSMUST00000026405.9 protein_coding protein_coding Bloc1s1 biogenesis of lysosomal organelles complex-1, subunit 1 [Source:MGI Symbol;Acc:MGI:1195276]	Bloc1s1	ENSMUSG00000090247.7	ENSMUST00000026405.9	protein_coding	protein_coding	10:128919914:128923524:-1	0.30666362525088875	0.44522405	0.19776033240353846	0.45014077	1	23	2	0
Poglut2-KY.Chr1.205	KY2019:KY.Chr1.205	Poglut2-KY.Chr1.205	KH.C1.1064	IP6K3	KDELC1/2	1:44106546:44118808:-1 ENSMUSG00000026047.13 ENSMUST00000065767.8 protein_coding protein_coding Poglut2 protein O-glucosyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919300]	Poglut2	ENSMUSG00000026047.13	ENSMUST00000065767.8	protein_coding	protein_coding	1:44106546:44118808:-1	1.0252332853477562	2.353313	0.32973654681881964	0.8684862	0	8	0	1
